StoreID,EmployeeID
110,100
79,101
96,102
144,103
45,104
14,105
57,106
51,107
157,108
104,109
73,110
35,111
86,112
171,113
168,114
18,115
159,116
128,117
149,118
173,119
65,120
26,121
33,122
5,123
54,124
80,125
2,126
34,127
34,128
24,129
17,130
143,131
170,132
173,133
103,134
38,135
21,136
61,137
101,138
123,139
161,140
48,141
102,142
21,143
123,144
38,145
98,146
26,147
25,148
154,149
62,150
58,151
162,152
104,153
69,154
36,155
24,156
115,157
86,158
61,159
54,160
23,161
122,162
17,163
39,164
73,165
172,166
126,167
162,168
106,169
99,170
147,171
100,172
71,173
20,174
153,175
62,176
157,177
97,178
126,179
111,180
85,181
162,182
143,183
29,184
134,185
6,186
158,187
35,188
109,189
149,190
43,191
138,192
44,193
148,194
108,195
157,196
74,197
46,198
2,199
